Fecha,Concepto,Costo,Usuario
05/06/2022 14:37:21,Detergente,65,Yeu
05/06/2022 14:37:27,Quita Grasa,47,ProfePime
05/06/2022 14:37:30,Manzanas,71,Yeu
05/06/2022 14:37:30,Manzanas,35,Marcela
05/06/2022 14:37:38,Aceite,12,ProfePime
05/06/2022 14:37:47,Charloa,11,Pablo
05/06/2022 14:37:48,Manzanas,30,Yeu
05/06/2022 14:37:48,Quita Grasa,83,ProfePime
05/06/2022 14:37:51,Quita Grasa,68,Yeu
05/06/2022 14:37:52,Quita Grasa,79,Pablo
05/06/2022 14:37:56,Aceite,89,Yeu
05/06/2022 14:37:56,Aceite,48,ProfePime
05/06/2022 14:37:57,Manzanas,17,ProfePime
05/06/2022 14:38:11,Detergente,84,ProfePime
05/06/2022 14:38:18,Aceite,68,Pablo
05/06/2022 14:38:19,Quita Grasa,28,Pablo
05/06/2022 14:38:20,Quita Grasa,78,Yeu
05/06/2022 14:38:21,Quita Grasa,18,ProfePime
05/06/2022 14:38:24,Manzanas,1,Marcela
05/06/2022 14:38:26,Aceite,24,Pablo
05/06/2022 14:38:29,Detergente,43,Marcela
05/06/2022 14:38:32,Manzanas,72,Marcela
05/06/2022 14:38:38,Quita Grasa,43,Marcela
05/06/2022 14:38:38,Detergente,51,Pablo
05/06/2022 14:38:46,Aceite,19,Pablo
05/06/2022 14:38:49,Detergente,82,Yeu
05/06/2022 14:38:59,Detergente,96,ProfePime
05/06/2022 14:39:01,Detergente,8,Yeu
05/06/2022 14:39:07,Detergente,68,Yeu
05/06/2022 14:39:09,Manzanas,57,Pablo
05/06/2022 14:39:12,Charloa,28,ProfePime
05/06/2022 14:39:14,Manzanas,32,Marcela
05/06/2022 14:39:19,Charloa,97,Pablo
05/06/2022 14:39:24,Manzanas,55,Yeu
05/06/2022 14:39:31,Quita Grasa,79,ProfePime
05/06/2022 14:39:37,Quita Grasa,4,Pablo
05/06/2022 14:39:39,Quita Grasa,75,ProfePime
05/06/2022 14:39:47,Manzanas,16,Pablo
05/06/2022 14:39:47,Charloa,75,Marcela
05/06/2022 14:39:49,Charloa,10,Yeu
05/06/2022 14:39:51,Aceite,57,Marcela
05/06/2022 14:39:55,Manzanas,93,Yeu
05/06/2022 14:40:01,Quita Grasa,84,Marcela
05/06/2022 14:40:07,Charloa,15,Marcela
05/06/2022 14:40:09,Quita Grasa,13,Pablo
05/06/2022 14:40:15,Detergente,97,Marcela
05/06/2022 14:40:16,Detergente,44,Yeu
05/06/2022 14:40:19,Charloa,17,Pablo
05/06/2022 14:40:23,Quita Grasa,21,Pablo
05/06/2022 14:40:30,Detergente,63,Marcela
05/06/2022 14:40:30,Manzanas,17,ProfePime
05/06/2022 14:40:30,Manzanas,70,Pablo
05/06/2022 14:40:30,Detergente,56,Marcela
05/06/2022 14:40:30,Aceite,18,Yeu
05/06/2022 14:40:35,Quita Grasa,26,Pablo
05/06/2022 14:40:38,Detergente,60,ProfePime
05/06/2022 14:40:48,Quita Grasa,55,Marcela
05/06/2022 14:40:50,Quita Grasa,20,Pablo
05/06/2022 14:40:51,Charloa,3,ProfePime
05/06/2022 14:40:54,Aceite,50,Yeu
05/06/2022 14:40:55,Manzanas,99,Pablo
05/06/2022 14:40:55,Manzanas,85,ProfePime
05/06/2022 14:41:00,Aceite,62,Yeu
05/06/2022 14:41:03,Manzanas,86,Pablo
05/06/2022 14:41:06,Manzanas,73,Marcela
05/06/2022 14:41:09,Quita Grasa,43,ProfePime
05/06/2022 14:41:12,Manzanas,41,ProfePime
05/06/2022 14:41:13,Aceite,0,ProfePime
05/06/2022 14:41:13,Aceite,95,Marcela
05/06/2022 14:41:15,Manzanas,26,Marcela
05/06/2022 14:41:16,Manzanas,92,Marcela
05/06/2022 14:41:17,Manzanas,86,Marcela
05/06/2022 14:41:23,Charloa,27,Yeu
05/06/2022 14:41:23,Quita Grasa,22,Yeu
05/06/2022 14:41:27,Charloa,53,Pablo
05/06/2022 14:41:30,Detergente,9,ProfePime
05/06/2022 14:41:30,Charloa,58,ProfePime
05/06/2022 14:41:33,Charloa,7,Marcela
05/06/2022 14:41:34,Manzanas,74,Pablo
05/06/2022 14:41:35,Detergente,66,Pablo
05/06/2022 14:41:38,Charloa,81,Yeu
05/06/2022 14:41:43,Detergente,40,Marcela
05/06/2022 14:41:48,Detergente,20,Yeu
05/06/2022 14:41:54,Charloa,6,ProfePime
05/06/2022 14:41:55,Charloa,15,ProfePime
05/06/2022 14:41:55,Charloa,45,Yeu
05/06/2022 14:41:58,Manzanas,41,Yeu
05/06/2022 14:42:06,Detergente,34,Yeu
05/06/2022 14:42:08,Charloa,39,Pablo
05/06/2022 14:42:08,Detergente,14,ProfePime
05/06/2022 14:42:11,Manzanas,59,Yeu
05/06/2022 14:42:12,Aceite,8,Marcela
05/06/2022 14:42:12,Detergente,56,Pablo
