,NORMA OFICIAL MEXICANA VERIFICADA,TIPO DE PRODUCTO,RAZON SOCIAL VISITADA,GIRO COMERCIAL,ENTIDAD,CUMPLIO?
0,NOM-015-SCFI-2007,MUÑECOS,JULIO CEPEDA JUGUETERIAS S.A. DE C.V.,JUGUETERIA,AGUASCALIENTES,True
1,NOM-004-SCFI-2006,ROPA CABALLERO,C&A DE MEXICO S. DE R.L.,TIENDA DEPARTAMENTAL,AGUASCALIENTES,True
2,NOM-142-SSA1-1995,BRANDY,ASFEIXAS  S.A. DE C.V.,MOTEL,AGUASCALIENTES,True
3,NOM-142-SSA1-1995,BRANDY,MOTEL VILLA MIRO- MIRO HOTELERIA  S.A. DE C.V.,MOTEL,AGUASCALIENTES,True
4,NOM-142-SSA1-1995,BRANDY,MOTEL LUA- COMPAÑIA HOTELERA PESCADORES  S.A. DE C.V.,MOTEL,AGUASCALIENTES,True
5,NOM-142-SSA1-1995,BRANDY,MOTEL PEDRA- PEDRA  S.A. DE C.V.,MOTEL,AGUASCALIENTES,True
6,NOM-020-SCFI-1997,ZAPATOS,CANDY STREET- CLAUDIA STEPHANIE MORA GARCIA,ZAPATERIA,AGUASCALIENTES,True
7,NOM-004-SCFI-2006,ROPA,VICKY BOUTIQUE- ROCIO ESPARZA ORTIZ,ROPA PARA DAMA,AGUASCALIENTES,True
8,NOM-142-SSA1-1995,RON,MOTEL CASTILLO-CIA. HOTELERA FENTOS  S. A. DE C. V.,HOTEL,AGUASCALIENTES,True
9,NOM-142-SSA1-1995,TEQUILA,MOTEL LOS ARCOS S.A. DE C.V.,BAR,AGUASCALIENTES,True
10,NOM-142-SSA1-1995,BRANDY,RESTAURANTE LOS ARCOS- MARIS BAJA  S.A. DE C.V.,RESTAURANT-BAR,AGUASCALIENTES,True
11,NOM-142-SSA1-1995,BRANDY,EL ALMACEN DEL BIFE- SI NO HAY PARA TODOS NO HAY PARA NADIE  S.A. DE C.V.,RESTAURANT-BAR,AGUASCALIENTES,True
12,NOM-142-SSA1-1995,BRANDY,ANTIGUA HACIENDA LA NORIA- HECTOR FLORES AGUILAR,RESTAURANT-BAR,AGUASCALIENTES,True
13,NOM-142-SSA1-1995,CERVEZA,VIRREY BUFFETS S.A. DE C.V.,RESTAURANTE,AGUASCALIENTES,True
14,NOM-006-SCFI-2012,TEQUILA,LA VENUSTIANA BAR- MULTISERVICIOS SAN MARCOS  S. DE R.L. DE C.V.,BAR,AGUASCALIENTES,True
15,NOM-070-SCFI-1994,MEZCAL,LA VENUSTIANA BAR- MULTISERVICIOS SAN MARCOS  S. DE R.L. DE C.V.,BAR,AGUASCALIENTES,True
16,NOM-142-SSA1-1995,BRANDY,LA VENUSTIANA BAR- MULTISERVICIOS SAN MARCOS  S. DE R.L. DE C.V.,BAR,AGUASCALIENTES,True
17,NOM-006-SCFI-2012,TEQUILA,THE GREAT WOODSTOCK- ALBERTO LOPEZ REED,RESTAURANT-BAR,AGUASCALIENTES,True
18,NOM-070-SCFI-1994,MEZCAL,THE GREAT WOODSTOCK- ALBERTO LOPEZ REED,RESTAURANT-BAR,AGUASCALIENTES,True
19,NOM-142-SSA1-1995,BRANDY,THE GREAT WOODSTOCK- ALBERTO LOPEZ REED,RESTAURANT-BAR,AGUASCALIENTES,True
20,NOM-051-SCFI/SSA1-2010,BEBIDAS,CADENA COMERCIAL OXXO  S. A. DE C.V.,TIENDA DE AUTOSERVICIO,AGUASCALIENTES,True
21,NOM-051-SCFI/SSA1-2010,SOPA DE PASTA,CADENA COMERCIAL OXXO  S. A. DE C.V.,TIENDA DE AUTOSERVICIO,AGUASCALIENTES,True
22,NOM-051-SCFI/SSA1-2010,GELATINAS,FARMACIA GUADALAJARA  S. A. DE C. V.,TIENDAS DE AUTOSERVICIO ESPECIALIZADAS,AGUASCALIENTES,True
23,NOM-051-SCFI/SSA1-2010,PRODUCTO LACTEO COMBINADO,FARMACIA GUADALAJARA  S. A. DE C. V.,TIENDAS DE AUTOSERVICIO ESPECIALIZADAS,AGUASCALIENTES,True
24,NOM-051-SCFI/SSA1-2010,ATUN,ABARROTES - JOSE ALVARO NUÑEZ GUZMAN,ABARROTES,AGUASCALIENTES,True
25,NOM-051-SCFI/SSA1-2010,VELADORAS  Y CERAS,ABARROTES - JOSE ALVARO NUÑEZ GUZMAN,ABARROTES,AGUASCALIENTES,True
26,NOM-051-SCFI/SSA1-2010,FRIJOLES,ABARROTES - JOSE ALVARO NUÑEZ GUZMAN,ABARROTES,AGUASCALIENTES,True
27,NOM-084-SCFI-1994,ATUN,SUPERAMA-NUEVA WAL MART DE MEXICO  S. DE R. L. DE C. V.,TIENDA DE AUTOSERVICIO,AGUASCALIENTES,True
28,NOM-051-SCFI/SSA1-2010,HUEVO,SAM'S CLUB- NUEVA WAL MART DE MEXICO  S DE RL DE CV,TIENDA DEPARTAMENTAL,AGUASCALIENTES,True
29,NOM-006-SCFI-2012,TEQUILA,CADENA COMERCIAL OXXO SA DE CV,TIENDA DE AUTOSERVICIO,AGUASCALIENTES,True
30,NOM-142-SSA1-1995,BRANDY,CADENA COMERCIAL OXXO SA DE CV,TIENDA DE AUTOSERVICIO,AGUASCALIENTES,True
31,NOM-142-SSA1-1995,WHISKY,CADENA COMERCIAL OXXO SA DE CV,TIENDA DE AUTOSERVICIO,AGUASCALIENTES,True
32,NOM-006-SCFI-2012,TEQUILA,CADENA COMERCIAL OXXO SA DE CV   (COLON),ABARROTES,AGUASCALIENTES,True
33,NOM-142-SSA1-1995,BRANDY,CADENA COMERCIAL OXXO SA DE CV   (COLON),ABARROTES,AGUASCALIENTES,True
34,NOM-006-SCFI-2012,TEQUILA,CADENA COMERCIAL OXXO SA DE CV  (MORELOS),ABARROTES,AGUASCALIENTES,True
35,NOM-142-SSA1-1995,BRANDY,CADENA COMERCIAL OXXO SA DE CV  (MORELOS),ABARROTES,AGUASCALIENTES,True
36,NOM-006-SCFI-2012,TEQUILA,LA BOMBILLA VINOS SA DE CV,BEBIDAS ALCOHOLICAS,AGUASCALIENTES,True
37,NOM-142-SSA1-1995,BRANDY,LA BOMBILLA VINOS SA DE CV,BEBIDAS ALCOHOLICAS,AGUASCALIENTES,True
38,NOM-142-SSA1-1995,WHISKY,LA BOMBILLA VINOS SA DE CV,BEBIDAS ALCOHOLICAS,AGUASCALIENTES,True
39,NOM-006-SCFI-2012,TEQUILA,TIENDAS EXTRA S.A DE C.V,ABARROTES,AGUASCALIENTES,True
40,NOM-142-SSA1-1995,WHISKY,TIENDAS EXTRA S.A DE C.V,ABARROTES,AGUASCALIENTES,True
41,NOM-051-SCFI/SSA1-2010,BEBIDAS,FARMACIAS BENAVIDES S.A.B. DE C.V.,FARMACIA,AGUASCALIENTES,True
42,NOM-051-SCFI/SSA1-2010,JUGOS,FARMACIAS BENAVIDES S.A.B. DE C.V.,FARMACIA,AGUASCALIENTES,True
